purchaser name	item description	item price	purchase count	merchant address	merchant name
Cal Ripken	O's Hat	30.0	8	333 W Camden St, Baltimore, MD 21201	Baltimore Orioles
Ray Lewis	Ravens Hat	35.0	52	1101 Russell St, Baltimore, MD 21230	Baltimore Ravens
Alex Ovechkin	Capitals Jersey	100.0	8	601 F St NW, Washington, DC 20004	Washington Capitals
Cal Ripken	Orioles Jersey	105.0	8	333 W Camden St, Baltimore, MD 21201	Baltimore Orioles
Ray Lewis	Ravens Jersey	149.99	52	1101 Russell St, Baltimore, MD 21230	Baltimore Ravens
Alex Ovechkin	Caps Hat	32.99	8	601 F St NW, Washington, DC 20004	Washington Capitals
Jeremy Stuckey	O's Hat	30.0	1	333 W Camden St, Baltimore, MD 21201	Baltimore Orioles
Jeremy Stuckey	Ravens Hat	35.0	1	1101 Russell St, Baltimore, MD 21230	Baltimore Ravens
Jeremy Stuckey	Capitals Jersey	100.0	1	601 F St NW, Washington, DC 20004	Washington Capitals
Jeremy Stuckey	Caps Hat	32.99	1	601 F St NW, Washington, DC 20004	Washington Capitals
